fecha,compra,venta,tipo_cambio
2002-01-11,1.65,1.7,1.6749999999999998
2002-01-14,1.63,1.68,1.6549999999999998
2002-01-15,1.9,1.95,1.9249999999999998
2002-01-16,1.83,1.87,1.85
2002-01-17,1.92,1.97,1.9449999999999998
2002-01-18,1.9,1.95,1.9249999999999998
2002-01-21,1.75,1.8,1.775
2002-01-22,1.8,1.85,1.8250000000000002
2002-01-23,1.74,1.77,1.755
2002-01-24,1.75,1.78,1.7650000000000001
2002-01-25,1.75,1.78,1.7650000000000001
2002-01-28,1.77,1.8,1.7850000000000001
2002-01-29,1.77,1.8,1.7850000000000001
2002-01-30,1.9,1.95,1.9249999999999998
2002-01-31,2.0,2.05,2.025
2002-02-01,2.0,2.05,2.025
2002-02-04,2.0,2.05,2.025
2002-02-05,2.0,2.05,2.025
2002-02-06,2.0,2.05,2.025
2002-02-07,2.0,2.05,2.025
2002-02-08,2.0,2.05,2.025
2002-02-11,2.0,2.03,2.0149999999999997
2002-02-12,1.95,1.98,1.9649999999999999
2002-02-13,1.95,1.98,1.9649999999999999
2002-02-14,1.96,1.99,1.975
2002-02-15,2.04,2.07,2.0549999999999997
2002-02-18,2.05,2.08,2.065
2002-02-19,2.09,2.12,2.105
2002-02-20,2.17,2.2,2.185
2002-02-21,2.03,2.06,2.045
2002-02-22,2.08,2.11,2.0949999999999998
2002-02-24,2.08,2.11,2.0949999999999998
2002-02-25,2.13,2.16,2.145
2002-02-26,2.15,2.18,2.165
2002-02-27,2.19,2.22,2.205
2002-02-28,2.17,2.19,2.1799999999999997
2002-03-01,2.17,2.2,2.185
2002-03-04,2.1,2.12,2.1100000000000003
2002-03-05,2.1,2.12,2.1100000000000003
2002-03-06,2.12,2.14,2.13
2002-03-07,2.2,2.22,2.21
2002-03-08,2.24,2.27,2.255
2002-03-11,2.3,2.32,2.3099999999999996
2002-03-12,2.41,2.43,2.42
2002-03-13,2.4,2.42,2.41
2002-03-14,2.44,2.46,2.45
2002-03-15,2.43,2.45,2.4400000000000004
2002-03-18,2.42,2.44,2.4299999999999997
2002-03-19,2.44,2.46,2.45
2002-03-20,2.52,2.54,2.5300000000000002
2002-03-21,2.53,2.55,2.54
2002-03-22,3.0,3.1,3.05
2002-03-25,3.4,3.6,3.5
2002-03-26,3.05,3.1,3.075
2002-03-27,3.0,3.05,3.025
2002-04-02,2.9,2.93,2.915
2002-04-03,2.94,2.97,2.955
2002-04-04,2.82,2.84,2.83
2002-04-05,2.78,2.82,2.8
2002-04-08,2.76,2.79,2.775
2002-04-09,2.78,2.8,2.79
2002-04-10,2.78,2.8,2.79
2002-04-11,2.82,2.84,2.83
2002-04-12,2.95,2.98,2.965
2002-04-13,2.95,2.98,2.965
2002-04-15,2.93,2.95,2.9400000000000004
2002-04-16,2.8,2.82,2.8099999999999996
2002-04-17,2.87,2.89,2.88
2002-04-18,3.12,3.15,3.135
2002-04-19,3.18,3.21,3.1950000000000003
2002-04-29,2.93,2.95,2.9400000000000004
2002-04-30,3.01,3.03,3.0199999999999996
2002-05-02,3.12,3.15,3.135
2002-05-03,3.18,3.2,3.1900000000000004
2002-05-06,3.19,3.21,3.2
2002-05-07,3.21,3.23,3.2199999999999998
2002-05-08,3.23,3.25,3.24
2002-05-09,3.2,3.22,3.21
2002-05-10,3.29,3.31,3.3
2002-05-13,3.28,3.3,3.29
2002-05-14,3.27,3.3,3.285
2002-05-15,3.25,3.27,3.26
2002-05-16,3.26,3.28,3.2699999999999996
2002-05-17,3.4,3.42,3.41
2002-05-20,3.54,3.57,3.5549999999999997
2002-05-21,3.55,3.57,3.5599999999999996
2002-05-22,3.5,3.52,3.51
2002-05-23,3.47,3.49,3.4800000000000004
2002-05-24,3.55,3.57,3.5599999999999996
2002-05-27,3.52,3.54,3.5300000000000002
2002-05-28,3.52,3.54,3.5300000000000002
2002-05-29,3.6,3.62,3.6100000000000003
2002-05-30,3.63,3.65,3.6399999999999997
2002-05-31,3.6,3.62,3.6100000000000003
2002-06-03,3.63,3.65,3.6399999999999997
2002-06-04,3.64,3.66,3.6500000000000004
2002-06-05,3.65,3.67,3.66
2002-06-06,3.68,3.7,3.6900000000000004
2002-06-07,3.69,3.71,3.7
2002-06-10,3.53,3.55,3.54
2002-06-11,3.52,3.54,3.5300000000000002
2002-06-12,3.51,3.53,3.5199999999999996
2002-06-13,3.53,3.55,3.54
2002-06-14,3.6,3.62,3.6100000000000003
2002-06-18,3.56,3.58,3.5700000000000003
2002-06-19,3.62,3.64,3.63
2002-06-20,3.65,3.67,3.66
2002-06-21,3.73,3.75,3.74
2002-06-24,3.81,3.83,3.8200000000000003
2002-06-25,3.91,3.93,3.92
2002-06-26,3.89,3.91,3.9000000000000004
2002-06-27,3.85,3.87,3.8600000000000003
2002-06-28,3.9,3.92,3.91
2002-07-01,3.81,3.83,3.8200000000000003
2002-07-02,3.68,3.7,3.6900000000000004
2002-07-03,3.62,3.64,3.63
2002-07-04,3.58,3.6,3.59
2002-07-05,3.62,3.64,3.63
2002-07-08,3.57,3.59,3.58
2002-07-10,3.57,3.59,3.58
2002-07-11,3.6,3.62,3.6100000000000003
2002-07-12,3.61,3.63,3.62
2002-07-15,3.61,3.63,3.62
2002-07-16,3.58,3.6,3.59
2002-07-17,3.56,3.58,3.5700000000000003
2002-07-18,3.59,3.61,3.5999999999999996
2002-07-19,3.6,3.62,3.6100000000000003
2002-07-22,3.61,3.63,3.62
2002-07-23,3.66,3.68,3.67
2002-07-24,3.64,3.66,3.6500000000000004
2002-07-25,3.64,3.66,3.6500000000000004
2002-07-26,3.66,3.68,3.67
2002-07-29,3.65,3.67,3.66
