fecha,tasa
1989-12-31,452.94
1990-04-30,117.76
1990-05-31,104.61
1990-06-30,159.82
1990-07-31,118.5
1990-08-31,110.2
1990-09-30,176.22
1990-10-31,121.79
1990-11-30,76.03
1990-12-31,74.34
1991-01-31,150.87
1991-02-28,183.33
1991-03-31,131.16
1991-04-30,16.91
1991-05-31,19.91
1991-06-30,18.95
1991-07-31,23.4
1991-08-31,16.21
1991-09-30,14.36
1991-10-31,12.47
1991-11-30,12.23
1991-12-31,15.17
1992-01-31,14.01
1992-02-29,10.29
1992-03-31,10.66
1992-04-30,11.25
1992-05-31,11.06
1992-06-30,10.04
1992-07-31,12.52
1992-08-31,12.31
1992-09-30,12.43
1992-10-31,12.93
1992-11-30,18.03
1992-12-31,25.27
1993-01-31,15.91
1993-02-28,15.39
1993-03-31,11.76
1993-04-30,10.5
1993-05-31,10.06
1993-06-30,9.64
1993-07-31,10.41
1993-08-31,9.75
1993-09-30,8.82
1993-10-31,8.55
1993-11-30,8.22
1993-12-31,9.0
1994-10-31,8.6
1994-11-30,8.79
1995-01-31,11.61
1995-02-28,12.73
1995-03-31,21.22
1995-04-30,19.54
1995-05-31,15.89
1995-06-30,11.07
1995-07-31,10.42
1995-08-31,9.49
1995-09-30,9.63
1995-10-31,9.32
1995-11-30,9.35
1995-12-31,9.52
1996-01-31,8.82
1996-02-29,7.8
1996-03-31,7.55
1996-04-30,7.35
1996-05-31,6.91
1996-06-30,6.87
1996-07-31,7.04
1996-08-31,8.19
1996-09-30,8.34
1996-10-31,7.76
1996-11-30,7.85
1996-12-31,7.94
1997-01-31,7.51
1997-02-28,7.06
1997-03-31,6.95
1997-04-30,6.84
1997-05-31,6.7
1997-06-30,6.64
1997-07-31,6.61
1997-08-31,6.6
1997-09-30,6.6
1997-10-31,7.03
1997-11-30,10.18
1997-12-31,9.08
1998-01-31,8.03
1998-02-28,6.94
1998-03-31,6.87
1998-04-30,6.78
1998-05-31,6.8
1998-06-30,6.73
1998-07-31,6.85
1998-08-31,7.42
1998-09-30,11.09
1998-10-31,9.41
1998-11-30,8.01
1998-12-31,8.1
1999-01-31,9.58
1999-02-28,8.48
1999-03-31,6.86
1999-04-30,6.05
1999-05-31,6.38
1999-06-30,7.62
1999-07-31,7.78
1999-08-31,7.7
1999-09-30,8.26
1999-10-31,9.82
1999-11-30,9.75
1999-12-31,10.68
2000-01-31,8.06
2000-02-29,8.48
2000-03-31,7.54
2000-04-30,7.38
2000-05-31,8.27
2000-06-30,7.83
2000-07-31,7.66
2000-08-31,7.57
2000-09-30,8.09
2000-10-31,8.72
2000-11-30,11.44
2000-12-31,12.89
2001-01-31,8.79
2001-02-28,6.6
2001-03-31,12.94
2001-04-30,14.76
2001-05-31,14.21
2001-06-30,11.38
2001-07-31,24.96
2001-08-31,28.9
2001-09-30,22.92
2001-10-31,23.39
2001-11-30,35.73
2001-12-31,7.7
2002-01-31,6.75
2002-02-28,12.73
2002-03-31,19.85
2002-04-30,60.41
2002-05-31,79.1
2002-06-30,82.41
2002-07-31,85.56
2002-08-31,65.18
2002-09-30,41.84
2002-10-31,29.32
2002-11-30,17.02
2002-12-31,19.32
2003-01-31,15.77
2003-02-28,17.04
2003-03-31,19.88
2003-04-30,18.35
2003-05-31,12.17
2003-06-30,9.61
2003-07-31,5.46
2003-08-31,4.04
2003-09-30,4.04
2003-10-31,4.18
2003-11-30,4.41
2003-12-31,3.64
2004-01-31,2.96
2004-02-29,2.51
2004-03-31,2.49
2004-04-30,2.43
2004-05-31,3.29
2004-06-30,3.05
2004-07-31,3.15
2004-08-31,3.78
2004-09-30,4.0
2004-10-31,4.06
2004-11-30,3.89
2004-12-31,3.82
2005-01-31,3.29
2005-02-28,3.05
2005-03-31,3.17
2005-04-30,3.76
2005-05-31,4.55
2005-06-30,4.74
2005-07-31,5.23
2005-08-31,4.96
2005-09-30,5.13
2005-10-31,5.32
2005-11-30,5.76
2005-12-31,6.45
2006-01-31,7.1
2006-02-28,6.69
2006-03-31,7.24
2006-04-30,7.87
2006-05-31,8.05
2006-06-30,8.08
2006-07-31,8.36
2006-08-31,8.61
2006-09-30,8.57
2006-10-31,8.54
2006-11-30,8.7
2006-12-31,8.9
2007-01-31,8.64
2007-02-28,7.8
2007-03-31,7.95
2007-04-30,7.75
2007-05-31,7.55
2007-06-30,7.68
2007-07-31,8.1
